Iteration, CellID, InitialMol, FinalMol, InitialTemperature, FinalTemperature
28, 1, 526.4266, 511.8168, 551.3315, 536.3126
28, 2, 491.1909, 496.0609, 511.9347, 501.696
28, 3, 491.1909, 496.0609, 497.7211, 487.7667
28, 4, 491.1909, 496.0609, 483.9027, 474.2247
29, 1, 511.8168, 498.7226, 536.3126, 522.7925
29, 2, 496.0609, 500.4256, 516.6656, 506.3323
29, 3, 496.0609, 500.4256, 502.3185, 492.2722
29, 4, 496.0609, 500.4256, 488.3704, 478.603
30, 1, 498.7226, 550.4171, 522.7925, 574.0288
30, 2, 500.4256, 483.1941, 516.7882, 488.6927
30, 3, 500.4256, 483.1941, 502.5189, 475.1992
30, 4, 500.4256, 483.1941, 488.6448, 462.0793
31, 1, 550.4171, 533.3185, 574.0288, 556.7448
31, 2, 483.1941, 488.8936, 504.7151, 494.6208
31, 3, 483.1941, 488.8936, 490.7744, 480.9589
31, 4, 483.1941, 488.8936, 477.2198, 467.6754
32, 1, 533.3185, 517.9938, 556.7448, 541.1857
32, 2, 488.8936, 494.0019, 510.1608, 499.9576
32, 3, 488.8936, 494.0019, 496.0651, 486.1438
32, 4, 488.8936, 494.0019, 482.36, 472.7128
33, 1, 517.9938, 504.2588, 541.1857, 527.1793
33, 2, 494.0019, 498.5802, 515.0633, 504.762
33, 3, 494.0019, 498.5802, 500.8279, 490.8113
33, 4, 494.0019, 498.5802, 486.987, 477.2472
34, 1, 504.2588, 491.9486, 527.1793, 514.5706
34, 2, 498.5802, 502.6836, 519.4768, 509.0873
34, 3, 498.5802, 502.6836, 505.1154, 495.0131
34, 4, 498.5802, 502.6836, 491.152, 481.329
35, 1, 491.9486, 544.4179, 514.5706, 566.7111
35, 2, 502.6836, 485.1939, 519.3787, 491.1423
35, 3, 502.6836, 485.1939, 505.0987, 477.6386
35, 4, 502.6836, 485.1939, 491.2129, 464.5078
36, 1, 544.4179, 527.9418, 566.7111, 550.1575
36, 2, 485.1939, 490.6859, 506.9605, 496.8213
36, 3, 485.1939, 490.6859, 493.0153, 483.155
36, 4, 485.1939, 490.6859, 479.4552, 469.8661
37, 1, 527.9418, 513.1748, 550.1575, 535.2558
37, 2, 490.6859, 495.6082, 512.1774, 501.9338
37, 3, 490.6859, 495.6082, 498.0825, 488.1208
37, 4, 490.6859, 495.6082, 484.377, 474.6894
38, 1, 513.1748, 499.9398, 535.2558, 521.8411
38, 2, 495.6082, 500.0199, 516.874, 506.5365
38, 3, 495.6082, 500.0199, 502.644, 492.5912
38, 4, 495.6082, 500.0199, 488.8072, 479.0311
39, 1, 499.9398, 551.4951, 521.8411, 573.1821
39, 2, 500.0199, 482.8348, 516.9733, 488.8677
39, 3, 500.0199, 482.8348, 502.8192, 475.4832
39, 4, 500.0199, 482.8348, 489.0546, 462.4668
40, 1, 551.4951, 534.2847, 573.1821, 555.9826
40, 2, 482.8348, 488.5716, 504.8665, 494.7692
40, 3, 482.8348, 488.5716, 491.0354, 481.2147
40, 4, 482.8348, 488.5716, 477.585, 468.0333
41, 1, 534.2847, 518.8597, 555.9826, 540.4995
41, 2, 488.5716, 493.7133, 510.288, 500.0822
41, 3, 488.5716, 493.7133, 496.3003, 486.3743
41, 4, 488.5716, 493.7133, 482.6978, 473.0438
42, 1, 518.8597, 505.0349, 540.4995, 526.5615
42, 2, 493.7133, 498.3215, 515.1688, 504.8654
42, 3, 493.7133, 498.3215, 501.0397, 491.019
42, 4, 493.7133, 498.3215, 487.2999, 477.5539
43, 1, 505.0349, 492.6443, 526.5615, 514.0145
43, 2, 498.3215, 502.4518, 519.5629, 509.1717
43, 3, 498.3215, 502.4518, 505.3062, 495.2001
43, 4, 498.3215, 502.4518, 491.4424, 481.6135
44, 1, 492.6443, 545.0339, 514.0145, 566.2162
44, 2, 502.4518, 484.9886, 519.452, 491.2116
44, 3, 502.4518, 484.9886, 505.2748, 477.8052
44, 4, 502.4518, 484.9886, 491.4867, 464.7667
45, 1, 545.0339, 528.4938, 566.2162, 549.7119
45, 2, 484.9886, 490.502, 507.016, 496.8757
45, 3, 484.9886, 490.502, 493.1684, 483.3051
45, 4, 484.9886, 490.502, 479.7011, 470.1071
46, 1, 528.4938, 513.6696, 549.7119, 534.8546
46, 2, 490.502, 495.4434, 512.2194, 501.975
46, 3, 490.502, 495.4434, 498.2205, 488.256
46, 4, 490.502, 495.4434, 484.6062, 474.9141
47, 1, 513.6696, 500.3831, 534.8546, 521.4799
47, 2, 495.4434, 499.8722, 516.9041, 506.566
47, 3, 495.4434, 499.8722, 502.7683, 492.713
47, 4, 495.4434, 499.8722, 489.0213, 479.2408
48, 1, 500.3831, 488.475, 521.4799, 509.44
48, 2, 499.8722, 503.8416, 521.1216, 510.6992
48, 3, 499.8722, 503.8416, 506.8624, 496.7251
48, 4, 499.8722, 503.8416, 492.9953, 483.1354
49, 1, 488.475, 541.3415, 509.44, 562.1448
49, 2, 503.8416, 486.2194, 520.888, 492.5696
49, 3, 503.8416, 486.2194, 506.7101, 479.1625
49, 4, 503.8416, 486.2194, 492.9207, 466.1228
50, 1, 541.3415, 525.1845, 562.1448, 546.0469
50, 2, 486.2194, 491.605, 508.2603, 498.0951
50, 3, 486.2194, 491.605, 494.4153, 484.527
50, 4, 486.2194, 491.605, 480.9498, 471.3308
51, 1, 525.1845, 510.7035, 546.0469, 531.5553
51, 2, 491.605, 496.432, 513.3365, 503.0698
51, 3, 491.605, 496.432, 499.343, 489.3561
51, 4, 491.605, 496.432, 485.7332, 476.0186
52, 1, 510.7035, 497.7248, 531.5553, 518.5099
52, 2, 496.432, 500.7582, 517.9067, 507.5486
52, 3, 496.432, 500.7582, 503.7789, 493.7033
52, 4, 496.432, 500.7582, 490.0388, 480.238
53, 1, 497.7248, 549.5334, 518.5099, 570.2173
53, 2, 500.7582, 483.4887, 517.9188, 489.7618
53, 3, 500.7582, 483.4887, 503.8661, 476.4731
53, 4, 500.7582, 483.4887, 490.1975, 463.5476
54, 1, 549.5334, 532.5266, 570.2173, 553.3137
54, 2, 483.4887, 489.1577, 505.6779, 495.5643
54, 3, 483.4887, 489.1577, 491.9449, 482.106
54, 4, 483.4887, 489.1577, 478.5876, 469.0158
55, 1, 532.5266, 517.284, 553.3137, 538.097
55, 2, 489.1577, 494.2385, 511.0086, 500.7884
55, 3, 489.1577, 494.2385, 497.1191, 487.1768
55, 4, 489.1577, 494.2385, 483.6099, 473.9377
56, 1, 517.284, 503.6226, 538.097, 524.3989
56, 2, 494.2385, 498.7923, 515.8079, 505.4917
56, 3, 494.2385, 498.7923, 501.777, 491.7415
56, 4, 494.2385, 498.7923, 488.1305, 478.3679
57, 1, 503.6226, 491.3784, 524.3989, 512.0676
57, 2, 498.7923, 502.8737, 520.1288, 509.7263
57, 3, 498.7923, 502.8737, 505.9701, 495.8507
57, 4, 498.7923, 502.8737, 492.1993, 482.3553
58, 1, 491.3784, 543.9128, 512.0676, 564.4835
58, 2, 502.8737, 485.3622, 519.9676, 491.6992
58, 3, 502.8737, 485.3622, 505.8872, 478.3843
58, 4, 502.8737, 485.3622, 492.1911, 465.4328
59, 1, 543.9128, 527.4891, 564.4835, 548.1522
59, 2, 485.3622, 490.8368, 507.4552, 497.3061
59, 3, 485.3622, 490.8368, 493.7006, 483.8265
59, 4, 485.3622, 490.8368, 480.3215, 470.7151
60, 1, 527.4891, 512.769, 548.1522, 533.4506
60, 2, 490.8368, 495.7434, 512.6063, 502.3541
60, 3, 490.8368, 495.7434, 498.6996, 488.7256
60, 4, 490.8368, 495.7434, 485.173, 475.4696
61, 1, 512.769, 499.576, 533.4506, 520.216
61, 2, 495.7434, 500.1411, 517.244, 506.8991
61, 3, 495.7434, 500.1411, 503.1998, 493.1358
61, 4, 495.7434, 500.1411, 489.5398, 479.749
62, 1, 499.576, 551.1729, 520.216, 571.7357
62, 2, 500.1411, 482.9421, 517.3034, 489.1799
62, 3, 500.1411, 482.9421, 503.3321, 475.9681
62, 4, 500.1411, 482.9421, 489.7413, 463.1162
63, 1, 551.1729, 533.996, 571.7357, 554.6806
63, 2, 482.9421, 488.6678, 505.1383, 495.0356
63, 3, 482.9421, 488.6678, 491.4811, 481.6515
63, 4, 482.9421, 488.6678, 478.1962, 468.6322
64, 1, 533.996, 518.601, 554.6806, 539.3275
64, 2, 488.6678, 493.7994, 510.5179, 500.3076
64, 3, 488.6678, 493.7994, 496.7017, 486.7677
64, 4, 488.6678, 493.7994, 483.2624, 473.5971
65, 1, 518.601, 504.8029, 539.3275, 525.5065
65, 2, 493.7994, 498.3988, 515.3615, 505.0542
65, 3, 493.7994, 498.3988, 501.4014, 491.3734
65, 4, 493.7994, 498.3988, 487.8223, 478.0659
66, 1, 504.8029, 492.4364, 525.5065, 513.0647
66, 2, 498.3988, 502.521, 519.7223, 509.3279
66, 3, 498.3988, 502.521, 505.632, 495.5193
66, 4, 498.3988, 502.521, 491.9265, 482.088
67, 1, 492.4364, 544.8499, 513.0647, 565.3709
67, 2, 502.521, 485.0498, 519.5892, 491.3414
67, 3, 502.521, 485.0498, 505.5754, 478.0895
67, 4, 502.521, 485.0498, 491.943, 465.1982
68, 1, 544.8499, 528.3289, 565.3709, 548.951
68, 2, 485.0498, 490.5568, 507.1221, 496.9797
68, 3, 485.0498, 490.5568, 493.4298, 483.5612
68, 4, 485.0498, 490.5568, 480.1103, 470.5081
69, 1, 528.3289, 513.5217, 548.951, 534.1697
69, 2, 490.5568, 495.4925, 512.3021, 502.0561
69, 3, 490.5568, 495.4925, 498.456, 488.4868
69, 4, 490.5568, 495.4925, 484.9871, 475.2874
70, 1, 513.5217, 500.2506, 534.1697, 520.8635
70, 2, 495.4925, 499.9162, 516.9659, 506.6266
70, 3, 495.4925, 499.9162, 502.9806, 492.921
70, 4, 495.4925, 499.9162, 489.3766, 479.589
71, 1, 500.2506, 488.3562, 520.8635, 508.8851
