Iteration, CellID, InitialMol, FinalMol, InitialTemperature, FinalTemperature
121, 4, 496.4625, 500.7855, 490.4066, 480.5984
122, 1, 497.643, 549.461, 518.1168, 569.8674
122, 2, 500.7855, 483.5128, 517.8093, 489.6582
122, 3, 500.7855, 483.5128, 503.9933, 476.5934
122, 4, 500.7855, 483.5128, 490.5504, 463.8813
123, 1, 549.461, 532.4617, 569.8674, 552.9988
123, 2, 483.5128, 489.1793, 505.5645, 495.4532
123, 3, 483.5128, 489.1793, 492.0557, 482.2146
123, 4, 483.5128, 489.1793, 478.912, 469.3338
124, 1, 532.4617, 517.2258, 552.9988, 537.8135
124, 2, 489.1793, 494.2579, 510.8886, 500.6709
124, 3, 489.1793, 494.2579, 497.2192, 487.2748
124, 4, 489.1793, 494.2579, 483.9196, 474.2412
125, 1, 517.2258, 503.5705, 537.8135, 524.1436
125, 2, 494.2579, 498.8097, 515.6824, 505.3688
125, 3, 494.2579, 498.8097, 501.8674, 491.83
125, 4, 494.2579, 498.8097, 488.4265, 478.6579
126, 1, 503.5705, 491.3317, 524.1436, 511.8378
126, 2, 498.8097, 502.8893, 519.9988, 509.5988
126, 3, 498.8097, 502.8893, 506.0517, 495.9307
126, 4, 498.8097, 502.8893, 492.4826, 482.633
127, 1, 491.3317, 543.8715, 511.8378, 564.279
127, 2, 502.8893, 485.376, 519.8356, 491.5744
127, 3, 502.8893, 485.376, 505.9627, 478.4557
127, 4, 502.8893, 485.376, 492.4644, 465.6913
128, 1, 543.8715, 527.4521, 564.279, 547.968
128, 2, 485.376, 490.8492, 507.3247, 497.1782
128, 3, 485.376, 490.8492, 493.7664, 483.891
128, 4, 485.376, 490.8492, 480.5746, 470.9631
129, 1, 527.4521, 512.7359, 547.968, 533.2847
129, 2, 490.8492, 495.7546, 512.4732, 502.2238
129, 3, 490.8492, 495.7546, 498.7591, 488.7839
129, 4, 490.8492, 495.7546, 485.4162, 475.7079
130, 1, 512.7359, 499.5464, 533.2847, 520.0668
130, 2, 495.7546, 500.1511, 517.1089, 506.7668
130, 3, 495.7546, 500.1511, 503.2536, 493.1886
130, 4, 495.7546, 500.1511, 489.7737, 479.9782
131, 1, 499.5464, 551.1467, 520.0668, 571.603
131, 2, 500.1511, 482.951, 517.1681, 489.0519
131, 3, 500.1511, 482.951, 503.3819, 476.0152
131, 4, 500.1511, 482.951, 489.9677, 463.3303
132, 1, 551.1467, 533.9725, 571.603, 554.5612
132, 2, 482.951, 488.6757, 505.0066, 494.9065
132, 3, 482.951, 488.6757, 491.5246, 481.6941
132, 4, 482.951, 488.6757, 478.4067, 468.8386
133, 1, 533.9725, 518.5799, 554.5612, 539.22
133, 2, 488.6757, 493.8065, 510.3855, 500.1778
133, 3, 488.6757, 493.8065, 496.7411, 486.8063
133, 4, 488.6757, 493.8065, 483.4656, 473.7963
134, 1, 518.5799, 504.7841, 539.22, 525.4097
134, 2, 493.8065, 498.4051, 515.2286, 504.9241
134, 3, 493.8065, 498.4051, 501.437, 491.4083
134, 4, 493.8065, 498.4051, 488.0186, 478.2582
135, 1, 504.7841, 492.4194, 525.4097, 512.9777
135, 2, 498.4051, 502.5266, 519.5894, 509.1976
135, 3, 498.4051, 502.5266, 505.6643, 495.551
135, 4, 498.4051, 502.5266, 492.1163, 482.274
136, 1, 492.4194, 544.8348, 512.9777, 565.2935
136, 2, 502.5266, 485.0548, 519.4572, 491.2166
136, 3, 502.5266, 485.0548, 505.6053, 478.1178
136, 4, 502.5266, 485.0548, 492.1273, 465.3725
137, 1, 544.8348, 528.3154, 565.2935, 548.8813
137, 2, 485.0548, 490.5613, 506.9952, 496.8553
137, 3, 485.0548, 490.5613, 493.456, 483.5869
137, 4, 485.0548, 490.5613, 480.2825, 470.6769
138, 1, 528.3154, 513.5097, 548.8813, 534.1069
138, 2, 490.5613, 495.4965, 512.1758, 501.9323
138, 3, 490.5613, 495.4965, 498.4798, 488.5102
138, 4, 490.5613, 495.4965, 485.1541, 475.451
139, 1, 513.5097, 500.2399, 534.1069, 520.8069
139, 2, 495.4965, 499.9198, 516.8405, 506.5036
139, 3, 495.4965, 499.9198, 503.0022, 492.9421
139, 4, 495.4965, 499.9198, 489.5385, 479.7477
140, 1, 500.2399, 488.3465, 520.8069, 508.8342
140, 2, 499.9198, 503.8842, 521.0405, 510.6197
140, 3, 499.9198, 503.8842, 507.0733, 496.9318
140, 4, 499.9198, 503.8842, 493.4844, 483.6147
141, 1, 488.3465, 541.2277, 508.8342, 561.6057
141, 2, 503.8842, 486.2572, 520.7964, 492.483
141, 3, 503.8842, 486.2572, 506.9049, 479.3467
141, 4, 503.8842, 486.2572, 493.3884, 466.565
142, 1, 541.2277, 525.0825, 561.6057, 545.5615
142, 2, 486.2572, 491.6389, 508.1587, 497.9955
142, 3, 486.2572, 491.6389, 494.5849, 484.6932
142, 4, 486.2572, 491.6389, 481.3778, 471.7502
143, 1, 525.0825, 510.6122, 545.5615, 531.1183
143, 2, 491.6389, 496.4624, 513.2233, 502.9589
143, 3, 491.6389, 496.4624, 499.496, 489.506
143, 4, 491.6389, 496.4624, 486.1399, 476.4171
144, 1, 510.6122, 497.643, 531.1183, 518.1166
144, 2, 496.4624, 500.7854, 517.7836, 507.4279
144, 3, 496.4624, 500.7854, 503.917, 493.8386
144, 4, 496.4624, 500.7854, 490.4257, 480.6172
145, 1, 497.643, 549.461, 518.1166, 569.8672
145, 2, 500.7854, 483.5128, 517.7902, 489.6402
145, 3, 500.7854, 483.5128, 503.9937, 476.5938
145, 4, 500.7854, 483.5128, 490.5692, 463.8991
146, 1, 549.461, 532.4617, 569.8672, 552.9986
146, 2, 483.5128, 489.1792, 505.5465, 495.4356
146, 3, 483.5128, 489.1792, 492.0561, 482.215
146, 4, 483.5128, 489.1792, 478.9298, 469.3512
147, 1, 532.4617, 517.2258, 552.9986, 537.8134
147, 2, 489.1792, 494.2578, 510.871, 500.6536
147, 3, 489.1792, 494.2578, 497.2196, 487.2752
147, 4, 489.1792, 494.2578, 483.937, 474.2583
148, 1, 517.2258, 503.5705, 537.8134, 524.1434
148, 2, 494.2578, 498.8096, 515.6652, 505.3519
148, 3, 494.2578, 498.8096, 501.8677, 491.8304
148, 4, 494.2578, 498.8096, 488.4435, 478.6747
149, 1, 503.5705, 491.3317, 524.1434, 511.8376
149, 2, 498.8096, 502.8892, 519.9819, 509.5822
149, 3, 498.8096, 502.8892, 506.0521, 495.931
149, 4, 498.8096, 502.8892, 492.4994, 482.6494
150, 1, 491.3317, 543.8715, 511.8376, 564.2788
150, 2, 502.8892, 485.3759, 519.819, 491.5587
150, 3, 502.8892, 485.3759, 505.963, 478.4561
150, 4, 502.8892, 485.3759, 492.4808, 465.7068
151, 1, 543.8715, 527.4521, 564.2788, 547.9678
151, 2, 485.3759, 490.8491, 507.309, 497.1628
151, 3, 485.3759, 490.8491, 493.7667, 483.8914
151, 4, 485.3759, 490.8491, 480.5901, 470.9783
152, 1, 527.4521, 512.7359, 547.9678, 533.2845
152, 2, 490.8491, 495.7545, 512.4578, 502.2087
152, 3, 490.8491, 495.7545, 498.7595, 488.7843
152, 4, 490.8491, 495.7545, 485.4314, 475.7227
153, 1, 512.7359, 499.5464, 533.2845, 520.0666
153, 2, 495.7545, 500.151, 517.0939, 506.752
153, 3, 495.7545, 500.151, 503.254, 493.1889
153, 4, 495.7545, 500.151, 489.7885, 479.9928
154, 1, 499.5464, 551.1467, 520.0666, 571.6028
154, 2, 500.151, 482.9509, 517.1533, 489.038
154, 3, 500.151, 482.9509, 503.3822, 476.0155
154, 4, 500.151, 482.9509, 489.9822, 463.344
155, 1, 551.1467, 533.9725, 571.6028, 554.561
155, 2, 482.9509, 488.6756, 504.9927, 494.8928
155, 3, 482.9509, 488.6756, 491.5249, 481.6944
155, 4, 482.9509, 488.6756, 478.4205, 468.8521
156, 1, 533.9725, 518.5799, 554.561, 539.2197
156, 2, 488.6756, 493.8065, 510.3719, 500.1644
156, 3, 488.6756, 493.8065, 496.7414, 486.8066
156, 4, 488.6756, 493.8065, 483.4791, 473.8095
157, 1, 518.5799, 504.7841, 539.2197, 525.4094
157, 2, 493.8065, 498.4051, 515.2153, 504.911
157, 3, 493.8065, 498.4051, 501.4373, 491.4086
157, 4, 493.8065, 498.4051, 488.0318, 478.2712
158, 1, 504.7841, 492.4194, 525.4094, 512.9774
158, 2, 498.4051, 502.5266, 519.5764, 509.1848
158, 3, 498.4051, 502.5266, 505.6646, 495.5513
158, 4, 498.4051, 502.5266, 492.1293, 482.2867
159, 1, 492.4194, 544.8348, 512.9774, 565.2932
159, 2, 502.5266, 485.0548, 519.4443, 491.2044
159, 3, 502.5266, 485.0548, 505.6057, 478.1181
159, 4, 502.5266, 485.0548, 492.14, 465.3845
160, 1, 544.8348, 528.3154, 565.2932, 548.881
160, 2, 485.0548, 490.5613, 506.983, 496.8434
160, 3, 485.0548, 490.5613, 493.4563, 483.5872
160, 4, 485.0548, 490.5613, 480.2945, 470.6886
161, 1, 528.3154, 513.5097, 548.881, 534.1066
161, 2, 490.5613, 495.4965, 512.1639, 501.9206
161, 3, 490.5613, 495.4965, 498.48, 488.5104
161, 4, 490.5613, 495.4965, 485.1658, 475.4625
162, 1, 513.5097, 500.2399, 534.1066, 520.8066
162, 2, 495.4965, 499.9198, 516.8287, 506.4922
162, 3, 495.4965, 499.9198, 503.0024, 492.9424
162, 4, 495.4965, 499.9198, 489.55, 479.759
163, 1, 500.2399, 488.3465, 520.8066, 508.8339
163, 2, 499.9198, 503.8842, 521.0291, 510.6085
163, 3, 499.9198, 503.8842, 507.0735, 496.932
163, 4, 499.9198, 503.8842, 493.4957, 483.6258
164, 1, 488.3465, 541.2277, 508.8339, 561.6054
164, 2, 503.8842, 486.2572, 520.7852, 492.4724
164, 3, 503.8842, 486.2572, 506.9052, 479.347
164, 4, 503.8842, 486.2572, 493.3995, 466.5755
165, 1, 541.2277, 525.0825, 561.6054, 545.5613
165, 2, 486.2572, 491.6389, 508.148, 497.985
165, 3, 486.2572, 491.6389, 494.5851, 484.6934
165, 4, 486.2572, 491.6389, 481.3883, 471.7605
166, 1, 525.0825, 510.6122, 545.5613, 531.1182
166, 2, 491.6389, 496.4624, 513.2129, 502.9486
166, 3, 491.6389, 496.4624, 499.4962, 489.5063
166, 4, 491.6389, 496.4624, 486.1501, 476.4272
167, 1, 510.6122, 497.643, 531.1182, 518.1165
167, 2, 496.4624, 500.7854, 517.7733, 507.4178
167, 3, 496.4624, 500.7854, 503.9172, 493.8388
167, 4, 496.4624, 500.7854, 490.4358, 480.6271
168, 1, 497.643, 549.461, 518.1165, 569.8671
168, 2, 500.7854, 483.5128, 517.7802, 489.6307
168, 3, 500.7854, 483.5128, 503.9939, 476.594
168, 4, 500.7854, 483.5128, 490.5791, 463.9084
169, 1, 549.461, 532.4617, 569.8671, 552.9985
169, 2, 483.5128, 489.1792, 505.537, 495.4262
169, 3, 483.5128, 489.1792, 492.0562, 482.2151
169, 4, 483.5128, 489.1792, 478.9391, 469.3603
170, 1, 532.4617, 517.2258, 552.9985, 537.8133
170, 2, 489.1792, 494.2578, 510.8617, 500.6444
170, 3, 489.1792, 494.2578, 497.2197, 487.2753
170, 4, 489.1792, 494.2578, 483.9461, 474.2672
171, 1, 517.2258, 503.5705, 537.8133, 524.1434
171, 2, 494.2578, 498.8096, 515.656, 505.3429
171, 3, 494.2578, 498.8096, 501.8679, 491.8305
171, 4, 494.2578, 498.8096, 488.4525, 478.6834
172, 1, 503.5705, 491.3317, 524.1434, 511.8376
172, 2, 498.8096, 502.8892, 519.9729, 509.5735
172, 3, 498.8096, 502.8892, 506.0522, 495.9312
172, 4, 498.8096, 502.8892, 492.5081, 482.658
173, 1, 491.3317, 543.8715, 511.8376, 564.2787
173, 2, 502.8892, 485.3759, 519.8102, 491.5504
173, 3, 502.8892, 485.3759, 505.9632, 478.4561
173, 4, 502.8892, 485.3759, 492.4893, 465.7148
174, 1, 543.8715, 527.4521, 564.2787, 547.9678
174, 2, 485.3759, 490.8491, 507.3007, 497.1546
174, 3, 485.3759, 490.8491, 493.7668, 483.8915
174, 4, 485.3759, 490.8491, 480.5981, 470.9862
175, 1, 527.4521, 512.7359, 547.9678, 533.2846
175, 2, 490.8491, 495.7545, 512.4496, 502.2007
175, 3, 490.8491, 495.7545, 498.7596, 488.7844
175, 4, 490.8491, 495.7545, 485.4393, 475.7305
176, 1, 512.7359, 499.5464, 533.2846, 520.0666
176, 2, 495.7545, 500.151, 517.0858, 506.7441
176, 3, 495.7545, 500.151, 503.2541, 493.189
176, 4, 495.7545, 500.151, 489.7963, 480.0004
177, 1, 499.5464, 551.1467, 520.0666, 571.6028
177, 2, 500.151, 482.9509, 517.1454, 489.0305
177, 3, 500.151, 482.9509, 503.3823, 476.0156
177, 4, 500.151, 482.9509, 489.9898, 463.3512
178, 1, 551.1467, 533.9725, 571.6028, 554.561
178, 2, 482.9509, 488.6756, 504.9852, 494.8855
178, 3, 482.9509, 488.6756, 491.525, 481.6945
178, 4, 482.9509, 488.6756, 478.4277, 468.8592
179, 1, 533.9725, 518.5799, 554.561, 539.2198
179, 2, 488.6756, 493.8065, 510.3646, 500.1573
179, 3, 488.6756, 493.8065, 496.7415, 486.8067
179, 4, 488.6756, 493.8065, 483.4861, 473.8164
180, 1, 518.5799, 504.7841, 539.2198, 525.4096
180, 2, 493.8065, 498.4051, 515.2081, 504.904
180, 3, 493.8065, 498.4051, 501.4374, 491.4087
180, 4, 493.8065, 498.4051, 488.0388, 478.278
181, 1, 504.7841, 492.4194, 525.4096, 512.9775
181, 2, 498.4051, 502.5266, 519.5693, 509.1779
181, 3, 498.4051, 502.5266, 505.6647, 495.5514
181, 4, 498.4051, 502.5266, 492.1361, 482.2934
182, 1, 492.4194, 544.8348, 512.9775, 565.2933
182, 2, 502.5266, 485.0548, 519.4375, 491.1979
182, 3, 502.5266, 485.0548, 505.6057, 478.1182
182, 4, 502.5266, 485.0548, 492.1467, 465.3908
183, 1, 544.8348, 528.3154, 565.2933, 548.8811
183, 2, 485.0548, 490.5613, 506.9765, 496.837
183, 3, 485.0548, 490.5613, 493.4564, 483.5872
183, 4, 485.0548, 490.5613, 480.3009, 470.6949
184, 1, 528.3154, 513.5097, 548.8811, 534.1068
184, 2, 490.5613, 495.4965, 512.1575, 501.9144
184, 3, 490.5613, 495.4965, 498.4801, 488.5105
184, 4, 490.5613, 495.4965, 485.172, 475.4686
185, 1, 513.5097, 500.2399, 534.1068, 520.8068
185, 2, 495.4965, 499.9198, 516.8225, 506.4861
185, 3, 495.4965, 499.9198, 503.0025, 492.9424
185, 4, 495.4965, 499.9198, 489.5561, 479.765
186, 1, 500.2399, 488.3465, 520.8068, 508.834
186, 2, 499.9198, 503.8842, 521.0229, 510.6025
186, 3, 499.9198, 503.8842, 507.0736, 496.9321
186, 4, 499.9198, 503.8842, 493.5017, 483.6317
187, 1, 488.3465, 541.2277, 508.834, 561.6055
187, 2, 503.8842, 486.2572, 520.7792, 492.4667
187, 3, 503.8842, 486.2572, 506.9052, 479.347
187, 4, 503.8842, 486.2572, 493.4053, 466.5811
188, 1, 541.2277, 525.0825, 561.6055, 545.5613
188, 2, 486.2572, 491.6389, 508.1423, 497.9795
188, 3, 486.2572, 491.6389, 494.5851, 484.6935
188, 4, 486.2572, 491.6389, 481.3939, 471.766
189, 1, 525.0825, 510.6122, 545.5613, 531.1182
189, 2, 491.6389, 496.4624, 513.2073, 502.9432
189, 3, 491.6389, 496.4624, 499.4962, 489.5063
189, 4, 491.6389, 496.4624, 486.1556, 476.4325
190, 1, 510.6122, 497.643, 531.1182, 518.1165
190, 2, 496.4624, 500.7854, 517.7679, 507.4125
190, 3, 496.4624, 500.7854, 503.9172, 493.8389
190, 4, 496.4624, 500.7854, 490.4412, 480.6323
191, 1, 497.643, 549.461, 518.1165, 569.8671
191, 2, 500.7854, 483.5128, 517.7748, 489.6257
191, 3, 500.7854, 483.5128, 503.994, 476.594
191, 4, 500.7854, 483.5128, 490.5843, 463.9134
192, 1, 549.461, 532.4617, 569.8671, 552.9985
192, 2, 483.5128, 489.1792, 505.532, 495.4213
192, 3, 483.5128, 489.1792, 492.0563, 482.2152
192, 4, 483.5128, 489.1792, 478.9441, 469.3652
193, 1, 532.4617, 517.2258, 552.9985, 537.8132
193, 2, 489.1792, 494.2578, 510.8568, 500.6396
193, 3, 489.1792, 494.2578, 497.2198, 487.2754
193, 4, 489.1792, 494.2578, 483.951, 474.2719
194, 1, 517.2258, 503.5705, 537.8132, 524.1434
194, 2, 494.2578, 498.8096, 515.6512, 505.3382
194, 3, 494.2578, 498.8096, 501.868, 491.8306
194, 4, 494.2578, 498.8096, 488.4572, 478.6881
195, 1, 503.5705, 491.3317, 524.1434, 511.8376
195, 2, 498.8096, 502.8892, 519.9682, 509.5688
195, 3, 498.8096, 502.8892, 506.0522, 495.9312
195, 4, 498.8096, 502.8892, 492.5128, 482.6625
196, 1, 491.3317, 543.8715, 511.8376, 564.2787
196, 2, 502.8892, 485.3759, 519.8056, 491.5461
196, 3, 502.8892, 485.3759, 505.9632, 478.4562
196, 4, 502.8892, 485.3759, 492.4939, 465.7192
197, 1, 543.8715, 527.4521, 564.2787, 547.9678
197, 2, 485.3759, 490.8491, 507.2963, 497.1504
197, 3, 485.3759, 490.8491, 493.7669, 483.8915
197, 4, 485.3759, 490.8491, 480.6025, 470.9904
198, 1, 527.4521, 512.7359, 547.9678, 533.2846
198, 2, 490.8491, 495.7545, 512.4454, 502.1965
198, 3, 490.8491, 495.7545, 498.7596, 488.7845
198, 4, 490.8491, 495.7545, 485.4435, 475.7346
199, 1, 512.7359, 499.5464, 533.2846, 520.0667
199, 2, 495.7545, 500.151, 517.0817, 506.7401
199, 3, 495.7545, 500.151, 503.2542, 493.1891
199, 4, 495.7545, 500.151, 489.8005, 480.0045
200, 1, 499.5464, 551.1467, 520.0667, 571.6028
200, 2, 500.151, 482.9509, 517.1414, 489.0267
200, 3, 500.151, 482.9509, 503.3824, 476.0157
200, 4, 500.151, 482.9509, 489.9939, 463.3551
201, 1, 551.1467, 533.9725, 571.6028, 554.561
201, 2, 482.9509, 488.6756, 504.9814, 494.8818
201, 3, 482.9509, 488.6756, 491.5251, 481.6945
201, 4, 482.9509, 488.6756, 478.4315, 468.8629
202, 1, 533.9725, 518.5799, 554.561, 539.2198
202, 2, 488.6756, 493.8065, 510.3608, 500.1536
202, 3, 488.6756, 493.8065, 496.7415, 486.8067
202, 4, 488.6756, 493.8065, 483.4899, 473.8201
203, 1, 518.5799, 504.7841, 539.2198, 525.4095
203, 2, 493.8065, 498.4051, 515.2044, 504.9003
203, 3, 493.8065, 498.4051, 501.4374, 491.4087
203, 4, 493.8065, 498.4051, 488.0424, 478.2816
204, 1, 504.7841, 492.4194, 525.4095, 512.9775
204, 2, 498.4051, 502.5266, 519.5657, 509.1743
204, 3, 498.4051, 502.5266, 505.6647, 495.5514
204, 4, 498.4051, 502.5266, 492.1397, 482.2969
205, 1, 492.4194, 544.8348, 512.9775, 565.2933
205, 2, 502.5266, 485.0548, 519.4339, 491.1945
205, 3, 502.5266, 485.0548, 505.6058, 478.1182
205, 4, 502.5266, 485.0548, 492.1502, 465.3941
206, 1, 544.8348, 528.3154, 565.2933, 548.881
206, 2, 485.0548, 490.5613, 506.9731, 496.8337
206, 3, 485.0548, 490.5613, 493.4564, 483.5872
206, 4, 485.0548, 490.5613, 480.3042, 470.6981
207, 1, 528.3154, 513.5097, 548.881, 534.1067
207, 2, 490.5613, 495.4965, 512.1542, 501.9111
207, 3, 490.5613, 495.4965, 498.4801, 488.5105
207, 4, 490.5613, 495.4965, 485.1753, 475.4718
208, 1, 513.5097, 500.2399, 534.1067, 520.8067
208, 2, 495.4965, 499.9198, 516.8192, 506.4828
208, 3, 495.4965, 499.9198, 503.0025, 492.9425
208, 4, 495.4965, 499.9198, 489.5593, 479.7681
209, 1, 500.2399, 488.3465, 520.8067, 508.8339
209, 2, 499.9198, 503.8842, 521.0197, 510.5993
209, 3, 499.9198, 503.8842, 507.0736, 496.9321
209, 4, 499.9198, 503.8842, 493.5048, 483.6347
210, 1, 488.3465, 541.2277, 508.8339, 561.6054
210, 2, 503.8842, 486.2572, 520.776, 492.4637
210, 3, 503.8842, 486.2572, 506.9053, 479.347
210, 4, 503.8842, 486.2572, 493.4084, 466.5839
211, 1, 541.2277, 525.0825, 561.6054, 545.5613
211, 2, 486.2572, 491.6389, 508.1393, 497.9766
211, 3, 486.2572, 491.6389, 494.5852, 484.6935
211, 4, 486.2572, 491.6389, 481.3967, 471.7688
212, 1, 525.0825, 510.6122, 545.5613, 531.1182
212, 2, 491.6389, 496.4624, 513.2044, 502.9403
212, 3, 491.6389, 496.4624, 499.4963, 489.5063
212, 4, 491.6389, 496.4624, 486.1584, 476.4352
213, 1, 510.6122, 497.643, 531.1182, 518.1164
213, 2, 496.4624, 500.7854, 517.765, 507.4097
213, 3, 496.4624, 500.7854, 503.9173, 493.8389
213, 4, 496.4624, 500.7854, 490.4439, 480.635
214, 1, 497.643, 549.461, 518.1164, 569.8671
214, 2, 500.7854, 483.5128, 517.772, 489.623
214, 3, 500.7854, 483.5128, 503.994, 476.5941
214, 4, 500.7854, 483.5128, 490.587, 463.9159
215, 1, 549.461, 532.4617, 569.8671, 552.9985
215, 2, 483.5128, 489.1792, 505.5293, 495.4187
215, 3, 483.5128, 489.1792, 492.0563, 482.2152
215, 4, 483.5128, 489.1792, 478.9466, 469.3677
216, 1, 532.4617, 517.2258, 552.9985, 537.8132
216, 2, 489.1792, 494.2578, 510.8541, 500.6371
216, 3, 489.1792, 494.2578, 497.2198, 487.2754
216, 4, 489.1792, 494.2578, 483.9535, 474.2744
217, 1, 517.2258, 503.5705, 537.8132, 524.1433
217, 2, 494.2578, 498.8096, 515.6486, 505.3357
217, 3, 494.2578, 498.8096, 501.868, 491.8306
217, 4, 494.2578, 498.8096, 488.4597, 478.6905
218, 1, 503.5705, 491.3317, 524.1433, 511.8376
218, 2, 498.8096, 502.8892, 519.9657, 509.5664
218, 3, 498.8096, 502.8892, 506.0523, 495.9312
218, 4, 498.8096, 502.8892, 492.5152, 482.6649
219, 1, 491.3317, 543.8715, 511.8376, 564.2788
219, 2, 502.8892, 485.3759, 519.8031, 491.5437
219, 3, 502.8892, 485.3759, 505.9633, 478.4562
219, 4, 502.8892, 485.3759, 492.4963, 465.7214
220, 1, 543.8715, 527.4521, 564.2788, 547.9679
220, 2, 485.3759, 490.8491, 507.294, 497.1481
220, 3, 485.3759, 490.8491, 493.7669, 483.8916
220, 4, 485.3759, 490.8491, 480.6047, 470.9926
221, 1, 527.4521, 512.7359, 547.9679, 533.2847
221, 2, 490.8491, 495.7545, 512.4431, 502.1942
221, 3, 490.8491, 495.7545, 498.7597, 488.7845
221, 4, 490.8491, 495.7545, 485.4457, 475.7368
222, 1, 512.7359, 499.5464, 533.2847, 520.0667
222, 2, 495.7545, 500.151, 517.0794, 506.7378
222, 3, 495.7545, 500.151, 503.2542, 493.1891
222, 4, 495.7545, 500.151, 489.8026, 480.0066
223, 1, 499.5464, 551.1467, 520.0667, 571.6028
223, 2, 500.151, 482.9509, 517.1392, 489.0246
223, 3, 500.151, 482.9509, 503.3824, 476.0157
223, 4, 500.151, 482.9509, 489.996, 463.3571
224, 1, 551.1467, 533.9725, 571.6028, 554.561
224, 2, 482.9509, 488.6756, 504.9793, 494.8797
224, 3, 482.9509, 488.6756, 491.5251, 481.6946
224, 4, 482.9509, 488.6756, 478.4335, 468.8649
225, 1, 533.9725, 518.5799, 554.561, 539.2198
225, 2, 488.6756, 493.8065, 510.3587, 500.1516
225, 3, 488.6756, 493.8065, 496.7416, 486.8067
225, 4, 488.6756, 493.8065, 483.4919, 473.822
226, 1, 518.5799, 504.7841, 539.2198, 525.4096
226, 2, 493.8065, 498.4051, 515.2024, 504.8983
226, 3, 493.8065, 498.4051, 501.4375, 491.4087
226, 4, 493.8065, 498.4051, 488.0444, 478.2835
227, 1, 504.7841, 492.4194, 525.4096, 512.9775
227, 2, 498.4051, 502.5266, 519.5637, 509.1725
227, 3, 498.4051, 502.5266, 505.6647, 495.5515
227, 4, 498.4051, 502.5266, 492.1416, 482.2987
228, 1, 492.4194, 544.8348, 512.9775, 565.2933
228, 2, 502.5266, 485.0548, 519.432, 491.1927
228, 3, 502.5266, 485.0548, 505.6058, 478.1182
228, 4, 502.5266, 485.0548, 492.152, 465.3958
229, 1, 544.8348, 528.3154, 565.2933, 548.881
229, 2, 485.0548, 490.5613, 506.9713, 496.8319
229, 3, 485.0548, 490.5613, 493.4564, 483.5873
229, 4, 485.0548, 490.5613, 480.3059, 470.6998
230, 1, 528.3154, 513.5097, 548.881, 534.1067
230, 2, 490.5613, 495.4965, 512.1524, 501.9094
230, 3, 490.5613, 495.4965, 498.4802, 488.5106
230, 4, 490.5613, 495.4965, 485.177, 475.4734
231, 1, 513.5097, 500.2399, 534.1067, 520.8066
231, 2, 495.4965, 499.9198, 516.8175, 506.4811
231, 3, 495.4965, 499.9198, 503.0026, 492.9425
231, 4, 495.4965, 499.9198, 489.5609, 479.7697
232, 1, 500.2399, 488.3465, 520.8066, 508.8339
232, 2, 499.9198, 503.8842, 521.018, 510.5977
232, 3, 499.9198, 503.8842, 507.0736, 496.9322
232, 4, 499.9198, 503.8842, 493.5064, 483.6363
233, 1, 488.3465, 541.2277, 508.8339, 561.6053
233, 2, 503.8842, 486.2572, 520.7744, 492.4621
233, 3, 503.8842, 486.2572, 506.9053, 479.3471
233, 4, 503.8842, 486.2572, 493.4099, 466.5854
234, 1, 541.2277, 525.0825, 561.6053, 545.5613
234, 2, 486.2572, 491.6389, 508.1378, 497.975
234, 3, 486.2572, 491.6389, 494.5852, 484.6935
234, 4, 486.2572, 491.6389, 481.3982, 471.7702
235, 1, 525.0825, 510.6122, 545.5613, 531.1182
235, 2, 491.6389, 496.4624, 513.2029, 502.9388
235, 3, 491.6389, 496.4624, 499.4963, 489.5064
235, 4, 491.6389, 496.4624, 486.1599, 476.4366
236, 1, 510.6122, 497.643, 531.1182, 518.1165
236, 2, 496.4624, 500.7854, 517.7635, 507.4082
236, 3, 496.4624, 500.7854, 503.9173, 493.839
236, 4, 496.4624, 500.7854, 490.4453, 480.6364
237, 1, 497.643, 549.461, 518.1165, 569.8671
237, 2, 500.7854, 483.5128, 517.7706, 489.6216
237, 3, 500.7854, 483.5128, 503.994, 476.5941
237, 4, 500.7854, 483.5128, 490.5884, 463.9172
238, 1, 549.461, 532.4617, 569.8671, 552.9985
238, 2, 483.5128, 489.1792, 505.5279, 495.4174
238, 3, 483.5128, 489.1792, 492.0564, 482.2152
238, 4, 483.5128, 489.1792, 478.9479, 469.369
239, 1, 532.4617, 517.2258, 552.9985, 537.8133
239, 2, 489.1792, 494.2578, 510.8528, 500.6357
239, 3, 489.1792, 494.2578, 497.2198, 487.2755
239, 4, 489.1792, 494.2578, 483.9548, 474.2757
240, 1, 517.2258, 503.5705, 537.8133, 524.1434
240, 2, 494.2578, 498.8096, 515.6473, 505.3344
240, 3, 494.2578, 498.8096, 501.868, 491.8307
240, 4, 494.2578, 498.8096, 488.4609, 478.6917
241, 1, 503.5705, 491.3317, 524.1434, 511.8377
241, 2, 498.8096, 502.8892, 519.9644, 509.5651
241, 3, 498.8096, 502.8892, 506.0523, 495.9313
241, 4, 498.8096, 502.8892, 492.5164, 482.6661
242, 1, 491.3317, 543.8715, 511.8377, 564.2789
242, 2, 502.8892, 485.3759, 519.8019, 491.5425
242, 3, 502.8892, 485.3759, 505.9633, 478.4563
242, 4, 502.8892, 485.3759, 492.4975, 465.7225
243, 1, 543.8715, 527.4521, 564.2789, 547.968
