Action, Iteration, CellID, NeighbourID, TransferAmount, HeatTransfered
Transfer, 1, 1, 3, 7.634575, 7.806378
Transfer, 1, 1, 4, 7.634575, 7.588485
Transfer, 1, 2, 1, 4.843196, 5.044282
Transfer, 1, 3, 1, 4.843196, 4.903485
Transfer, 1, 4, 1, 4.843196, 4.766619
Transfer, 1, 1, 2, 7.400834, 7.787385
Transfer, 1, 1, 3, 7.400834, 7.570022
Transfer, 1, 1, 4, 7.400834, 7.358726
Transfer, 1, 2, 1, 4.899024, 5.099144
Transfer, 1, 3, 1, 4.899024, 4.956815
Transfer, 1, 4, 1, 4.899024, 4.81846
Transfer, 1, 1, 2, 7.191339, 7.568506
Transfer, 1, 1, 3, 7.191339, 7.357252
Transfer, 1, 1, 4, 7.191339, 7.151895
Transfer, 1, 2, 1, 4.94906, 5.148531
Transfer, 1, 3, 1, 4.94906, 5.004824
Transfer, 1, 4, 1, 4.94906, 4.865129
Transfer, 1, 1, 2, 7.003578, 7.371469
Transfer, 1, 1, 3, 7.003578, 7.165715
Transfer, 1, 1, 4, 7.003578, 6.965704
Transfer, 1, 2, 1, 4.993906, 5.19299
Transfer, 1, 3, 1, 4.993906, 5.048042
Transfer, 1, 4, 1, 4.993906, 4.907141
Transfer, 1, 1, 2, 4.897704, 5.154794
Transfer, 1, 1, 3, 4.897704, 5.051698
Transfer, 1, 1, 4, 4.897704, 4.950665
Transfer, 1, 2, 1, 13.6841, 14.11393
Transfer, 1, 3, 1, 13.6841, 13.7222
Transfer, 1, 4, 1, 13.6841, 13.34136
Transfer, 1, 1, 2, 7.571041, 7.920381
Transfer, 1, 1, 3, 7.571041, 7.699305
Transfer, 1, 1, 4, 7.571041, 7.4844
Transfer, 1, 2, 1, 4.858371, 5.068355
Transfer, 1, 3, 1, 4.858371, 4.927658
Transfer, 1, 4, 1, 4.858371, 4.790873
Transfer, 1, 1, 2, 7.34389, 7.688229
Transfer, 1, 1, 3, 7.34389, 7.473633
Transfer, 1, 1, 4, 7.34389, 7.265027
Transfer, 1, 2, 1, 4.912625, 5.120752
Transfer, 1, 3, 1, 4.912625, 4.978577
Transfer, 1, 4, 1, 4.912625, 4.840355
Transfer, 1, 1, 2, 7.140304, 7.479243
Transfer, 1, 1, 3, 7.140304, 7.270481
Transfer, 1, 1, 4, 7.140304, 7.067545
Transfer, 1, 2, 1, 4.96125, 5.167922
Transfer, 1, 3, 1, 4.96125, 5.024415
Transfer, 1, 4, 1, 4.96125, 4.884899
Transfer, 1, 1, 2, 4.985507, 5.22431
Transfer, 1, 1, 3, 4.985507, 5.119824
Transfer, 1, 1, 4, 4.985507, 5.017428
Transfer, 1, 2, 1, 13.60454, 14.05093
Transfer, 1, 3, 1, 13.60454, 13.66296
Transfer, 1, 4, 1, 13.60454, 13.28574
Transfer, 1, 1, 2, 7.679567, 8.006729
Transfer, 1, 1, 3, 7.679567, 7.783243
Transfer, 1, 1, 4, 7.679567, 7.565995
Transfer, 1, 2, 1, 4.83245, 5.048165
Transfer, 1, 3, 1, 4.83245, 4.908729
Transfer, 1, 4, 1, 4.83245, 4.773155
Transfer, 1, 1, 2, 7.44116, 7.76596
Transfer, 1, 1, 3, 7.44116, 7.549194
Transfer, 1, 1, 4, 7.44116, 7.33848
Transfer, 1, 2, 1, 4.889393, 5.102521
Transfer, 1, 3, 1, 4.889393, 4.961538
Transfer, 1, 4, 1, 4.889393, 4.824461
Transfer, 1, 1, 2, 7.227483, 7.549218
Transfer, 1, 1, 3, 7.227483, 7.338502
Transfer, 1, 1, 4, 7.227483, 7.133668
Transfer, 1, 2, 1, 4.940428, 5.151455
Transfer, 1, 3, 1, 4.940428, 5.009078
Transfer, 1, 4, 1, 4.940428, 4.870646
Transfer, 1, 1, 2, 7.035973, 7.354105
Transfer, 1, 1, 3, 7.035973, 7.148836
Transfer, 1, 1, 4, 7.035973, 6.949296
Transfer, 1, 2, 1, 4.986169, 5.195508
Transfer, 1, 3, 1, 4.986169, 5.051873
Transfer, 1, 4, 1, 4.986169, 4.912219
Transfer, 1, 1, 2, 4.918506, 5.143594
Transfer, 1, 1, 3, 4.918506, 5.040722
Transfer, 1, 1, 4, 4.918506, 4.939908
Transfer, 1, 2, 1, 13.66525, 14.12003
Transfer, 1, 3, 1, 13.66525, 13.73181
Transfer, 1, 4, 1, 13.66525, 13.3543
Transfer, 1, 1, 2, 7.596753, 7.906469
Transfer, 1, 1, 3, 7.596753, 7.685781
Transfer, 1, 1, 4, 7.596753, 7.471254
Transfer, 1, 2, 1, 4.852231, 5.070198
Transfer, 1, 3, 1, 4.852231, 4.930729
Transfer, 1, 4, 1, 4.852231, 4.795111
Transfer, 1, 1, 2, 7.366936, 7.675705
Transfer, 1, 1, 3, 7.366936, 7.461458
Transfer, 1, 1, 4, 7.366936, 7.253192
Transfer, 1, 2, 1, 4.907121, 5.122308
Transfer, 1, 3, 1, 4.907121, 4.981344
Transfer, 1, 4, 1, 4.907121, 4.844273
Transfer, 1, 1, 2, 7.160959, 7.46797
Transfer, 1, 1, 3, 7.160959, 7.259522
Transfer, 1, 1, 4, 7.160959, 7.056892
Transfer, 1, 2, 1, 4.956317, 5.169221
Transfer, 1, 3, 1, 4.956317, 5.026907
Transfer, 1, 4, 1, 4.956317, 4.888526
Transfer, 1, 1, 2, 4.998772, 5.21704
Transfer, 1, 1, 3, 4.998772, 5.112699
Transfer, 1, 1, 4, 4.998772, 5.010445
Transfer, 1, 2, 1, 13.59252, 14.054
Transfer, 1, 3, 1, 13.59252, 13.66922
Transfer, 1, 4, 1, 13.59252, 13.29502
Transfer, 1, 1, 2, 7.695961, 7.997697
Transfer, 1, 1, 3, 7.695961, 7.774463
Transfer, 1, 1, 4, 7.695961, 7.55746
Transfer, 1, 2, 1, 4.828535, 5.049051
Transfer, 1, 3, 1, 4.828535, 4.910728
Transfer, 1, 4, 1, 4.828535, 4.776213
Transfer, 1, 1, 2, 7.455852, 7.757829
Transfer, 1, 1, 3, 7.455852, 7.54129
Transfer, 1, 1, 4, 7.455852, 7.330796
Transfer, 1, 2, 1, 4.885883, 5.103227
Transfer, 1, 3, 1, 4.885883, 4.963339
Transfer, 1, 4, 1, 4.885883, 4.827305
Transfer, 1, 1, 2, 7.240651, 7.541899
Transfer, 1, 1, 3, 7.240651, 7.331387
Transfer, 1, 1, 4, 7.240651, 7.126751
Transfer, 1, 2, 1, 4.937283, 5.152
Transfer, 1, 3, 1, 4.937283, 5.010701
Transfer, 1, 4, 1, 4.937283, 4.873294
Transfer, 1, 1, 2, 7.047775, 7.347517
Transfer, 1, 1, 3, 7.047775, 7.142431
Transfer, 1, 1, 4, 7.047775, 6.943069
Transfer, 1, 2, 1, 4.98335, 5.195911
Transfer, 1, 3, 1, 4.98335, 5.053335
Transfer, 1, 4, 1, 4.98335, 4.91469
Transfer, 1, 1, 2, 4.926086, 5.139344
Transfer, 1, 1, 3, 4.926086, 5.036557
Transfer, 1, 1, 4, 4.926086, 4.935826
Transfer, 1, 2, 1, 13.65838, 14.12087
Transfer, 1, 3, 1, 13.65838, 13.73548
Transfer, 1, 4, 1, 13.65838, 13.36066
Transfer, 1, 1, 2, 7.606121, 7.901189
Transfer, 1, 1, 3, 7.606121, 7.68065
Transfer, 1, 1, 4, 7.606121, 7.466265
Transfer, 1, 2, 1, 4.849992, 5.070385
Transfer, 1, 3, 1, 4.849992, 4.931903
Transfer, 1, 4, 1, 4.849992, 4.797224
Transfer, 1, 1, 2, 7.375333, 7.670951
Transfer, 1, 1, 3, 7.375333, 7.456838
Transfer, 1, 1, 4, 7.375333, 7.248701
Transfer, 1, 2, 1, 4.905115, 5.122397
Transfer, 1, 3, 1, 4.905115, 4.982402
Transfer, 1, 4, 1, 4.905115, 4.846254
Transfer, 1, 1, 2, 7.168485, 7.46369
Transfer, 1, 1, 3, 7.168485, 7.255362
Transfer, 1, 1, 4, 7.168485, 7.052848
Transfer, 1, 2, 1, 4.954519, 5.169223
Transfer, 1, 3, 1, 4.954519, 5.027861
Transfer, 1, 4, 1, 4.954519, 4.890386
Transfer, 1, 1, 2, 6.983094, 7.277113
Transfer, 1, 1, 3, 6.983094, 7.073992
Transfer, 1, 1, 4, 6.983094, 6.876541
Transfer, 1, 2, 1, 4.998798, 5.21138
Transfer, 1, 3, 1, 4.998798, 5.068783
Transfer, 1, 4, 1, 4.998798, 4.930109
Transfer, 1, 1, 2, 4.884548, 5.093932
Transfer, 1, 1, 3, 4.884548, 4.992053
Transfer, 1, 1, 4, 4.884548, 4.892212
Transfer, 1, 2, 1, 13.69602, 14.15961
Transfer, 1, 3, 1, 13.69602, 13.77421
Transfer, 1, 4, 1, 13.69602, 13.39936
Transfer, 1, 1, 2, 7.554779, 7.844781
Transfer, 1, 1, 3, 7.554779, 7.625815
Transfer, 1, 1, 4, 7.554779, 7.412962
Transfer, 1, 2, 1, 4.862255, 5.082735
Transfer, 1, 3, 1, 4.862255, 4.944281
Transfer, 1, 4, 1, 4.862255, 4.809623
Transfer, 1, 1, 2, 7.329316, 7.620173
Transfer, 1, 1, 3, 7.329316, 7.407477
Transfer, 1, 1, 4, 7.329316, 7.200718
Transfer, 1, 2, 1, 4.916106, 5.133484
Transfer, 1, 3, 1, 4.916106, 4.993545
Transfer, 1, 4, 1, 4.916106, 4.857445
Transfer, 1, 1, 2, 7.127241, 7.41798
Transfer, 1, 1, 3, 7.127241, 7.210927
Transfer, 1, 1, 4, 7.127241, 7.009655
Transfer, 1, 2, 1, 4.96437, 5.179173
Transfer, 1, 3, 1, 4.96437, 5.037892
Transfer, 1, 4, 1, 4.96437, 4.900489
Transfer, 1, 1, 2, 4.977119, 5.184795
Transfer, 1, 1, 3, 4.977119, 5.081099
Transfer, 1, 1, 4, 4.977119, 4.979477
Transfer, 1, 2, 1, 13.61214, 14.07876
Transfer, 1, 3, 1, 13.61214, 13.69676
Transfer, 1, 4, 1, 13.61214, 13.3252
Transfer, 1, 1, 2, 7.669199, 7.957644
Transfer, 1, 1, 3, 7.669199, 7.735529
Transfer, 1, 1, 4, 7.669199, 7.519613
Transfer, 1, 2, 1, 4.834927, 5.056863
Transfer, 1, 3, 1, 4.834927, 4.919532
Transfer, 1, 4, 1, 4.834927, 4.785957
Transfer, 1, 1, 2, 7.431866, 7.721773
Transfer, 1, 1, 3, 7.431866, 7.506241
Transfer, 1, 1, 4, 7.431866, 7.296724
Transfer, 1, 2, 1, 4.891612, 5.110161
Transfer, 1, 3, 1, 4.891612, 4.971266
Transfer, 1, 4, 1, 4.891612, 4.836172
Transfer, 1, 1, 2, 7.219154, 7.50944
Transfer, 1, 1, 3, 7.219154, 7.299835
Transfer, 1, 1, 4, 7.219154, 7.09608
Transfer, 1, 2, 1, 4.942417, 5.158147
Transfer, 1, 3, 1, 4.942417, 5.017838
Transfer, 1, 4, 1, 4.942417, 4.881371
Transfer, 1, 1, 2, 7.028508, 7.318297
Transfer, 1, 1, 3, 7.028508, 7.114028
Transfer, 1, 1, 4, 7.028508, 6.915459
Transfer, 1, 2, 1, 4.987952, 5.20135
Transfer, 1, 3, 1, 4.987952, 5.059761
Transfer, 1, 4, 1, 4.987952, 4.922052
Transfer, 1, 1, 2, 4.913712, 5.120497
Transfer, 1, 1, 3, 4.913712, 5.018087
Transfer, 1, 1, 4, 4.913712, 4.917725
Transfer, 1, 2, 1, 13.6696, 14.13434
Transfer, 1, 3, 1, 13.6696, 13.75159
Transfer, 1, 4, 1, 13.6696, 13.37929
Transfer, 1, 1, 2, 7.590827, 7.877779
Transfer, 1, 1, 3, 7.590827, 7.657892
Transfer, 1, 1, 4, 7.590827, 7.444143
Transfer, 1, 2, 1, 4.853646, 5.074601
Transfer, 1, 3, 1, 4.853646, 4.937054
Transfer, 1, 4, 1, 4.853646, 4.803263
Transfer, 1, 1, 2, 7.361625, 7.649878
Transfer, 1, 1, 3, 7.361625, 7.436353
Transfer, 1, 1, 4, 7.361625, 7.228788
Transfer, 1, 2, 1, 4.908389, 5.126107
Transfer, 1, 3, 1, 4.908389, 4.98704
Transfer, 1, 4, 1, 4.908389, 4.851773
Transfer, 1, 1, 2, 7.156199, 7.44472
Transfer, 1, 1, 3, 7.156199, 7.236921
Transfer, 1, 1, 4, 7.156199, 7.034922
Transfer, 1, 2, 1, 4.957454, 5.172479
Transfer, 1, 3, 1, 4.957454, 5.032037
Transfer, 1, 4, 1, 4.957454, 4.895436
Transfer, 1, 1, 2, 4.995716, 5.202043
Transfer, 1, 1, 3, 4.995716, 5.098002
Transfer, 1, 1, 4, 4.995716, 4.996042
Transfer, 1, 2, 1, 13.59529, 14.06186
Transfer, 1, 3, 1, 13.59529, 13.68208
Transfer, 1, 4, 1, 13.59529, 13.31264
Transfer, 1, 1, 2, 7.692184, 7.979069
Transfer, 1, 1, 3, 7.692184, 7.756355
Transfer, 1, 1, 4, 7.692184, 7.539858
Transfer, 1, 2, 1, 4.829437, 5.051415
Transfer, 1, 3, 1, 4.829437, 4.914843
Transfer, 1, 4, 1, 4.829437, 4.781993
Transfer, 1, 1, 2, 7.452468, 7.741061
Transfer, 1, 1, 3, 7.452468, 7.524991
Transfer, 1, 1, 4, 7.452468, 7.314951
Transfer, 1, 2, 1, 4.886692, 5.105207
Transfer, 1, 3, 1, 4.886692, 4.967045
Transfer, 1, 4, 1, 4.886692, 4.832652
Transfer, 1, 1, 2, 7.237618, 7.526803
Transfer, 1, 1, 3, 7.237618, 7.316714
Transfer, 1, 1, 4, 7.237618, 7.112488
Transfer, 1, 2, 1, 4.938008, 5.153639
Transfer, 1, 3, 1, 4.938008, 5.014039
Transfer, 1, 4, 1, 4.938008, 4.878249
Transfer, 1, 1, 2, 7.045056, 7.333928
Transfer, 1, 1, 3, 7.045056, 7.129222
Transfer, 1, 1, 4, 7.045056, 6.930229
Transfer, 1, 2, 1, 4.984, 5.197246
Transfer, 1, 3, 1, 4.984, 5.056343
Transfer, 1, 4, 1, 4.984, 4.919288
Transfer, 1, 1, 2, 4.924339, 5.130579
Transfer, 1, 1, 3, 4.924339, 5.027967
Transfer, 1, 1, 4, 4.924339, 4.927408
Transfer, 1, 2, 1, 13.65997, 14.12395
Transfer, 1, 3, 1, 13.65997, 13.74302
Transfer, 1, 4, 1, 13.65997, 13.37245
Transfer, 1, 1, 2, 7.603962, 7.890302
Transfer, 1, 1, 3, 7.603962, 7.670067
Transfer, 1, 1, 4, 7.603962, 7.455977
Transfer, 1, 2, 1, 4.850508, 5.071239
Transfer, 1, 3, 1, 4.850508, 4.934316
Transfer, 1, 4, 1, 4.850508, 4.801121
Transfer, 1, 1, 2, 7.373396, 7.661152
Transfer, 1, 1, 3, 7.373396, 7.447312
Transfer, 1, 1, 4, 7.373396, 7.23944
Transfer, 1, 2, 1, 4.905577, 5.123037
Transfer, 1, 3, 1, 4.905577, 4.984576
Transfer, 1, 4, 1, 4.905577, 4.849888
Transfer, 1, 1, 2, 7.166749, 7.45487
Transfer, 1, 1, 3, 7.166749, 7.246788
Transfer, 1, 1, 4, 7.166749, 7.044514
Transfer, 1, 2, 1, 4.954934, 5.169674
Transfer, 1, 3, 1, 4.954934, 5.02982
Transfer, 1, 4, 1, 4.954934, 4.89378
Transfer, 1, 1, 2, 6.98154, 7.269172
Transfer, 1, 1, 3, 6.98154, 7.066274
Transfer, 1, 1, 4, 6.98154, 6.869038
Transfer, 1, 2, 1, 4.99917, 5.211664
Transfer, 1, 3, 1, 4.99917, 5.070549
Transfer, 1, 4, 1, 4.99917, 4.933285
Transfer, 1, 1, 2, 4.88355, 5.08881
Transfer, 1, 1, 3, 4.88355, 4.987034
Transfer, 1, 1, 4, 4.88355, 4.887294
Transfer, 1, 2, 1, 13.69692, 14.16009
Transfer, 1, 3, 1, 13.69692, 13.77864
Transfer, 1, 4, 1, 13.69692, 13.40756
Transfer, 1, 1, 2, 7.553547, 7.838421
Transfer, 1, 1, 3, 7.553547, 7.619633
Transfer, 1, 1, 4, 7.553547, 7.406952
Transfer, 1, 2, 1, 4.862549, 5.082773
Transfer, 1, 3, 1, 4.862549, 4.945699
Transfer, 1, 4, 1, 4.862549, 4.812354
Transfer, 1, 1, 2, 7.328212, 7.614449
Transfer, 1, 1, 3, 7.328212, 7.401913
Transfer, 1, 1, 4, 7.328212, 7.195308
Transfer, 1, 2, 1, 4.916369, 5.133407
Transfer, 1, 3, 1, 4.916369, 4.994823
Transfer, 1, 4, 1, 4.916369, 4.860013
Transfer, 1, 1, 2, 7.126251, 7.412827
Transfer, 1, 1, 3, 7.126251, 7.205917
Transfer, 1, 1, 4, 7.126251, 7.004784
Transfer, 1, 2, 1, 4.964606, 5.178995
Transfer, 1, 3, 1, 4.964606, 5.039045
Transfer, 1, 4, 1, 4.964606, 4.902908
Transfer, 1, 1, 2, 4.976483, 5.18147
Transfer, 1, 1, 3, 4.976483, 5.077841
Transfer, 1, 1, 4, 4.976483, 4.976284
Transfer, 1, 2, 1, 13.61272, 14.0781
